media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename
D8,Watermelon,0.0,CPA-40Z,0.05,25.466666666666665,247666.66666666663,D8- 3.28.2023 OG Watermelon.xlsx
D8,Watermelon,0.0,CPA-40Z,0.1,32.0,57030.0,D8- 3.28.2023 OG Watermelon.xlsx
D8,Watermelon,0.0,CPA-40Z,0.8,40.6,9286.333333333334,D8- 3.28.2023 OG Watermelon.xlsx
D8,Watermelon,0.0,CPA-40Z,4.0,49.6,1879.3333333333333,D8- 3.28.2023 OG Watermelon.xlsx
D8,Watermelon,0.0,CPA-40Z,10.0,60.8,378.4666666666667,D8- 3.28.2023 OG Watermelon.xlsx
D8,Watermelon,0.0,CPA-40Z,50.0,73.9,88.94333333333333,D8- 3.28.2023 OG Watermelon.xlsx
D8,Guava,0.0,CPA-40Z,0.5,24.866666666666664,43566.66666666666,D8- Guava- Cream.xlsx
D8,Guava,0.0,CPA-40Z,0.5,29.633333333333336,30083.33333333333,D8- Guava- Cream.xlsx
D8,Guava,0.0,CPA-40Z,1.0,39.56666666666667,7917.666666666667,D8- Guava- Cream.xlsx
D8,Guava,0.0,CPA-40Z,2.0,49.46666666666667,3111.0,D8- Guava- Cream.xlsx
D8,Guava,0.0,CPA-40Z,40.0,59.1,293.7,D8- Guava- Cream.xlsx
D8,Guava,0.0,CPA-40Z,100.0,69.23333333333333,174.4333333333333,D8- Guava- Cream.xlsx
D9,Unknown,0.0,CPA-52Z,5,25.399999999999995,92816.66666666669,D9 JH+ TigersBlood-100kcp.xlsx
D9,Unknown,0.0,CPA-52Z,15,30.33333333333333,35966.666666666664,D9 JH+ TigersBlood-100kcp.xlsx
D9,Unknown,0.0,CPA-52Z,50,40.16666666666666,5873.666666666667,D9 JH+ TigersBlood-100kcp.xlsx
D9,Unknown,0.0,CPA-52Z,75,49.46666666666666,1464.0,D9 JH+ TigersBlood-100kcp.xlsx
D9,Unknown,0.0,CPA-52Z,75,57.5,509.6666666666667,D9 JH+ TigersBlood-100kcp.xlsx
D9,Unknown,0.0,CPA-52Z,150,62.6,209.56666666666663,D9 JH+ TigersBlood-100kcp.xlsx
