media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,alpha-Pinene,Camphene,beta-Pinene,beta-Myrcene,3-Carene,alpha-Terpinene,p-Cymene,D-Limonene,Ocimene 1,Ocimene 2,gamma-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,Caryophyllene,alpha-Humulene,Nerolidol 1,Nerolidol 2,Guaiol,alpha-Bisabolol,timestamp,original_filename
d9,vapen,D9 Distillate,59.3,132.16666666666669,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
d9,vapen,D9 Distillate,69.1,41.626666666666665,0.777552776,0.026674487,0.7375548589341692,0.0,0.0,0.0,0.0,0.0315757575757575,0.000535025,0.00025161,0.000535025,0.000491222,0.0,0.002466905,0.000491336,0.017935907,7.570347003154573e-05,0.000115161,0.002466905,0.001072284,0.000402789,0.0002157,0.0,0.000141235,0.000115279,4.785331230283911e-05,0.000276804,0.000626158,0.000950574,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,23.8,36156.66666666666,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,29.9,15876.666666666666,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,39.6,3058.6666666666665,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,49.5,115.56666666666666,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,59.3,10.55,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,69.1,5.576666666666667,0.829661961,0.066890893,0.68671485,0.053774327,0.0,0.0,0.0,0.0311472802559759,0.000982852,0.000740518,0.000982852,0.0128478760416666,0.0,0.00022798,0.0,0.021389401,0.000246139,0.000170986,0.00022798,0.000503391,0.000755217,0.000219684,0.000166077,0.0143761101626016,0.005707098,0.002596418,0.000195183,8.4355856199187e-05,0.002835972,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,23.8,258466.66666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,29.9,85903.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,39.6,10401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,49.5,1847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,59.3,140.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
liquid diamonds,raw garden,Liquid Diamonds,69.1,67.49333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,23.8,4005.0,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,29.9,1967.3333333333333,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,39.6,528.8333333333334,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,49.5,164.46666666666667,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,59.3,42.63999999999999,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
live resin,mpx,Live Resin,69.1,10.243333333333334,0.8109310344827585,0.1211236218487395,0.6710548890764407,0.092793978,0.008492706,0.0,0.007604172,0.020382475,0.004717454,0.000454537,0.004717454,0.070223797,1.964957983193277e-05,5.593025210084034e-05,1.4700840336134452e-05,0.012994125210084,0.000125211,0.000123934,5.593025210084034e-05,0.000505748,0.003850487,0.000295897,0.000208123,0.008741515,0.002457036,0.001116461,1.97436974789916e-05,0.0,0.003438182,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,23.8,2688000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,29.9,894300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,39.6,79430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,49.5,11030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
unknown,everdrop,Maui Wowie/Liquid Diamond,59.3,1704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01T10:47:05.141747,Media Database V3 2023
