media,terpene,terpene_pct,temperature,viscosity
MPX D9 with Tiger's Blood 2.5% Terp,Unknown,0,,
MPX D9 with Tiger's Blood 2.5% Terp,Unknown,0,,
MPX Live Rosin Viscosity,Unknown,0,71280,45.06666666666667
MPX Live Rosin Viscosity,Unknown,0,29790,57.833333333333336
MPX Live Rosin Viscosity,Unknown,0,6271,41.333333333333336
MPX Live Rosin Viscosity,Unknown,0,1500,37.9
MPX Live Rosin Viscosity,Unknown,0,473.1,15.4
MPXDistillate-MW 1Mcp,Unknown,0,1067000,80.16666666666667
MPXDistillate-MW 1Mcp,Unknown,0,583200,74.10000000000001
MPXDistillate-MW 1Mcp,Unknown,0,38740,24.2
MPXDistillate-MW 1Mcp,Unknown,0,5652,17.7
MPXDistillate-MW 1Mcp,Unknown,0,952.5,9.200000000000001
MPXDistillate-MW 1Mcp,Unknown,0,208.8,9.166666666666666
MPXDistillate-WatermelonSkittlez-700kcp,Unknown,0,757000,75.63333333333333
MPXDistillate-WatermelonSkittlez-700kcp,Unknown,0,216700,54.35
MPXDistillate-WatermelonSkittlez-700kcp,Unknown,0,19840,12.5
MPXDistillate-WatermelonSkittlez-700kcp,Unknown,0,3493,11.133333333333333
Only Grams 80% Pink Berry Viscosity,Unknown,0,14780,74.63333333333334
Only Grams 80% Pink Berry Viscosity,Unknown,0,6922,43.800000000000004
Only Grams 80% Pink Berry Viscosity,Unknown,0,1127,14.199999999999998
Rambutan 245a-viscosity,Unknown,0,4813,10.033333333333333
Raw Garden-Raspberry Liquid Diamond 384kcp,Unknown,0,387400,48.4
Raw Garden-Raspberry Liquid Diamond 384kcp,Unknown,0,104300,69.93333333333334
Raw Garden-Raspberry Liquid Diamond 384kcp,Unknown,0,15000,19.066666666666666
Raw Garden-Raspberry Liquid Diamond 384kcp,Unknown,0,1894,18
ROSIN #15  6-29-23,Unknown,0,10110,19.433333333333334
ROSIN #15  6-29-23,Unknown,0,8890,17.366666666666664
ROSIN #15  6-29-23,Unknown,0,2106,21.1
ROSIN ABUNDANT Baker 6-29-23,Unknown,0,257200,32.666666666666664
ROSIN ABUNDANT Baker 6-29-23,Unknown,0,75730,49.20000000000001
ROSIN ABUNDANT Baker 6-29-23,Unknown,0,14760,18.3
ROSIN ABUNDANT Baker 6-29-23,Unknown,0,725,15.233333333333334
ROSIN Jenny KUSH 6-29-23,Unknown,0,296900,71.93333333333334
ROSIN Jenny KUSH 6-29-23,Unknown,0,111000,69.7
ROSIN Jenny KUSH 6-29-23,Unknown,0,21040,30.933333333333334
ROSIN Jenny KUSH 6-29-23,Unknown,0,1127,22.53333333333333
STRAWNANA-SELECTBRIQ-D9 viscosity,Unknown,0,407200,51.46666666666666
STRAWNANA-SELECTBRIQ-D9 viscosity,Unknown,0,123000,47.93333333333334
STRAWNANA-SELECTBRIQ-D9 viscosity,Unknown,0,16510,32.766666666666666
STRAWNANA-SELECTBRIQ-D9 viscosity,Unknown,0,3207,31.133333333333336
Sublime LRO-11.2023,Unknown,0,31010,55.833333333333336
Sublime LRO-11.2023,Unknown,0,11950,78.86666666666667
Sublime LRO-11.2023,Unknown,0,740.8,14.5
TazoFarms D8 5-15-23,Unknown,0,107200,14.366666666666667
TazoFarms D8 5-15-23,Unknown,0,37620,24.2
TazoFarms D8 5-15-23,Unknown,0,6297,12.366666666666667
TazoFarms D8 5-15-23,Unknown,0,1132,10.699999999999998
Trumed JH+wat-D9- 700kcp,Unknown,0,756500,85.36666666666667
Trumed JH+wat-D9- 700kcp,Unknown,0,87160,56.06666666666666
Trumed JH+wat-D9- 700kcp,Unknown,0,11910,15.233333333333334
Trumed JH+wat-D9- 700kcp,Unknown,0,661.5,12.700000000000001
Trumed-JH Distillate- 2millioncp,Unknown,0,2008000,67.06666666666666
Trumed-JH Distillate- 2millioncp,Unknown,0,502500,64.10000000000001
Trumed-JH Distillate- 2millioncp,Unknown,0,53020,134.1
Trumed-JH Distillate- 2millioncp,Unknown,0,7977,20.933333333333334
TruMedD9-3-6-23,Unknown,0,739800,86.3
TruMedD9-3-6-23,Unknown,0,250300,53
TruMedD9-3-6-23,Unknown,0,23500,15.366666666666665
TruMedD9-3-6-23,Unknown,0,3397,11.166666666666666
URB Purple Urkle D8 6-28-23,Unknown,0,2096000,26.066666666666663
URB Purple Urkle D8 6-28-23,Unknown,0,601700,40.800000000000004
URB Purple Urkle D8 6-28-23,Unknown,0,63820,41.5
URB Purple Urkle D8 6-28-23,Unknown,0,9472,18.266666666666666
URB Purple Urkle D8 6-28-23,Unknown,0,1598,15.266666666666666
URB Slurricane 6-28-23,Unknown,0,1619000,41.63333333333333
URB Slurricane 6-28-23,Unknown,0,469900,31.7
URB Slurricane 6-28-23,Unknown,0,51910,33.666666666666664
URB Slurricane 6-28-23,Unknown,0,9525,18.099999999999998
URB tangie Banana D8 6-28-23,Unknown,0,1286000,79.13333333333334
URB tangie Banana D8 6-28-23,Unknown,0,560400,73.93333333333332
URB tangie Banana D8 6-28-23,Unknown,0,61380,24.46666666666667
URB tangie Banana D8 6-28-23,Unknown,0,9604,12.336666666666666
Viscosity D8- 600kcp-march2024,Unknown,0,603300,38.1
Viscosity D8- 600kcp-march2024,Unknown,0,167100,42.76666666666667
Viscosity D8- 600kcp-march2024,Unknown,0,22600,42.56666666666667
Viscosity D8- 600kcp-march2024,Unknown,0,3810,24.133333333333336
Viscosity D8- 600kcp-march2024,Unknown,0,936.6,11.800000000000002
Viscosity D8- 600kcp-march2024,Unknown,0,523.9,10.4
Viscosity template,Unknown,0,,
Viscosity template,Unknown,0,,
Viscosity template,Unknown,0,,
Viscosity template,Unknown,0,,
Viscosity-Pure D8 1.18.23,Unknown,0,61120000,68.46666666666667
Viscosity-Pure D8 1.18.23,Unknown,0,7239000,53.03333333333333
Viscosity-Pure D8 1.18.23,Unknown,0,513600,66.10000000000001
Viscosity-Pure D8 1.18.23,Unknown,0,46670,29.600000000000005
Viscosity-Pure D8 1.18.23,Unknown,0,7303,13.966666666666669
Viscosity-Pure D8 1.18.23,Unknown,0,1746,11.033333333333333
