media,media_brand,terpene,total_potency,terpene_pct,temperature,viscosity,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,29.9,15876.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,39.6,3058.666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,49.5,115.5666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,59.3,10.55,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,,,69.1,5.576666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,GMOB 245A/Decarb Live Rosin,0.829661961,0.066890893,,,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 120A/Decarb Live Rosin,,,25.3,46936.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Papaya 120A/Decarb Live Rosin,0.884244975,0.063852341,,,0.809130718,0.019710814,0,0,0,0.018282848,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 245A/Decarb Live Rosin,,,25.46666667,34186.66667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Papaya 245A/Decarb Live Rosin,,,50.13333333,224.4333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Papaya 245A/Decarb Live Rosin,0.90849484,0.068110116,,,0.832994643,0.004836066,0,0,0,0.028550143,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,23.8,32593.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,29.9,10113.33333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,39.6,472.3,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,49.5,175.2666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,59.3,15.91666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,,,69.1,8.716666667,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,0.871100785,0.061516487,,,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,0.871100785,0.073287651,,,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,0.78261861,0.061516487,,,0.738093857,0,0,0,0,0.018769545,2025-03-14T11:30:33.252833,Media Database V3 2023
live rosin,Nasha Hash,Qchem 245A/Decarb Live Rosin,0.78261861,0.073287651,,,0.738093857,0,0,0,0,0.018769545,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Rambutan 245A/Decarb Live Rosin,,,25.46666667,5249.333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Live Rosin,Nasha Hash,Rambutan 245A/Decarb Live Rosin,,,50.13333333,144.2333333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
Unknown,Nasha Hash,Strawnana 120A,,,25.3,143433.3333,,,,,,,2025-03-14T11:30:33.252833,Media Database V3 2023
