media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,59.3,15.91666667,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,59.3,15.91666667,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,59.3,15.91666667,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,59.3,15.91666667,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,69.1,8.716666667,0.871100785,0.061516487,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,69.1,8.716666667,0.871100785,0.073287651,0.793296254,0.010660757,0,0,0,0.028850269,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,69.1,8.716666667,0.78261861,0.061516487,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,Qchem 245A/Decarb Live Rosin,69.1,8.716666667,0.78261861,0.073287651,0.738093857,0,0,0,0,0.018769545,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,23.8,187333.3333,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,29.9,78846.66667,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,39.6,12146.66667,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,49.5,2349.666667,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,59.3,112.3,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,raw garden,Refined Live Resin,69.1,32.78666667,0.941540493,0.034929658,0.901214789,0,0.002910211,0,0,0.024744718,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,23.8,10976.66667,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,29.9,9190,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,39.6,2233,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,49.5,98.58666667,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,59.3,30.34666667,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,papa & barkely,#15 Matt DB x GN x A/Decarb Live Rosin,69.1,13.11333333,0.829321908,0.0666664,0.780520128,0,0,0,0,0.019212462,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,23.8,259300,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,29.9,78107,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,39.6,14523,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,49.5,806,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,59.3,119,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Rosin Bakers Dozen/Decarb Live Rosin,69.1,51,0.758012422,,0.758012422,0,0,0,0,0,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,23.8,285500,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,29.9,110666.6667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,39.6,24553.33333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,49.5,1192.333333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,59.3,496.3333333,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,abundant,Jenny Kush/Decarb Live Rosin,69.1,238.4,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,23.8,121441.3,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,29.9,65880,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,39.6,12226.66667,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,49.5,2788.666667,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,59.3,172.3333333,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,canamo,Wedding Cake/ Decarb Live Rosin,69.1,50.69666667,0.761408046,,0.674827586,0.038390805,0,0,0,0.031867816,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,23.8,240500,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,29.9,82870,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,39.6,12986.66667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,49.5,2651,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,59.3,141.2666667,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live resin,mpx,Dark Night /Live Resin,69.1,13.56,,,,,,,,,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,hangar 10,Wilson Zero/Decarb Live Rosin,23.8,31010,0.854312796,0.04442569,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,hangar 10,Wilson Zero/Decarb Live Rosin,29.9,15346.66667,0.854312796,0.04442569,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,hangar 10,Wilson Zero/Decarb Live Rosin,39.6,2815.333333,0.854312796,0.04442569,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,hangar 10,Wilson Zero/Decarb Live Rosin,49.5,66.62,0.854312796,0.04442569,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,hangar 10,Wilson Zero/Decarb Live Rosin,59.3,8.546666667,0.854312796,0.04442569,0.783376777,0.015770142,0,0,0,0.034881517,2025-03-14T14:04:47.777542,Media Database V3 2023
